Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
8/29/2017,7:01:00,MCP,"3rd district, Silver Spring",PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,DEXTER / GEORGIA,39.02222333,-77.04565167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,TOYOTA,SUV,GRAY,Citation,21-1003(aa),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0222233333333, -77.0456516666667)"
8/29/2017,7:09:00,MCP,"3rd district, Silver Spring",PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,DEXTER / MC KENNEY,39.022115,-77.04815,No,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,2016,TOYOYTA,TAXI,RED,Citation,21-1003(aa),Transportation Article,No,OTHER,U,WASHINGTON,DC,MD,A - Marked Patrol,"(39.022115, -77.04815)"
8/29/2017,7:34:00,MCP,"3rd district, Silver Spring",PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,MANCHESTER RD / BRADFORD RD,38.99869667,-77.00826833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,TOYOTA,SIENNA,WHITE,Citation,21-1003(aa),Transportation Article,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9986966666667, -77.0082683333333)"
8/29/2017,7:39:00,MCP,"3rd district, Silver Spring",PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,MANCHESTER RD / BRADFORD RD,38.99869833,-77.0082,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017,TOYOTA,4DR,GRAY,Citation,21-1003(aa),Transportation Article,No,OTHER,U,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9986983333333, -77.0082)"
8/23/2014,22:00:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,STEWART LN AND COLUMBIA PIKE,39.058375,-77.04819833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,NISSAN,MAXIMA,BLACK,Citation,21-902(a1),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.058375, -77.0481983333333)"
8/29/2017,7:50:00,MCP,"3rd district, Silver Spring",PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,MANCHESTER RD / BRADFORD RD,38.998855,-77.00823,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,TOYOTA,CAMRY,TAN,Citation,21-1003(aa),Transportation Article,No,BLACK,M,HYATTSVILLE,MD,MD,A - Marked Patrol,"(38.998855, -77.00823)"
4/10/2015,22:05:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,CONNECTICUT/ GEORGIA,39.08674167,-77.079115,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,CHEV,MALIBU,SILVER,Citation,16-303(d),Transportation Article,No,WHITE,F,OLNEY,MD,MD,A - Marked Patrol,"(39.0867416666667, -77.079115)"
7/31/2014,11:00:00,MCP,"4th district, Wheaton",FAILURE YIELD RIGHT OF WAY ON LEFT TURN,MUNCASTER MILL RD/WINDSOR MANOR LN,39.11166,-77.08585333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,LEXUS,ES 350,TAN,Citation,21-402(a),Transportation Article,No,ASIAN,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,"(39.11166, -77.0858533333333)"
3/7/2014,23:31:00,MCP,"4th district, Wheaton","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",VIERS MILL RD/MONTERAY DRIVE,39.04628,-77.06670167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,HONDA,CIVIC,BLACK,Citation,22-201.1,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.04628, -77.0667016666667)"
2/17/2014,10:16:00,MCP,"4th district, Wheaton",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,LAYHILL RD/ MIDDLEBRIDGE DR,39.08108167,-77.04664667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,TOYOTA,CAMRY,BLACK,Citation,21-310(a),Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0810816666667, -77.0466466666667)"
4/12/2014,7:33:00,MCP,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,GEORGIA AVE @ NORBECK ROAD,39.10782667,-77.07589167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,HONDA,ACCORD,SILVER,Citation,16-112(c),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1078266666667, -77.0758916666667)"
3/19/2014,0:10:00,MCP,"3rd district, Silver Spring",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,650 UNIVERSITY BLVD E,39.00010667,-76.995265,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,NISSAN,ALTIMOA,BLACK,Citation,16-112(c),Transportation Article,No,BLACK,M,GLENN DALE,MD,MD,A - Marked Patrol,"(39.0001066666667, -76.995265)"
5/30/2014,9:10:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,GREAT SENECA HWY / LONGDRAFT RD,39.13063167,-77.24548167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,HONDA,ACCORD,GRAY,Citation,13-409(b),Transportation Article,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1306316666667, -77.2454816666667)"
12/15/2013,18:33:00,MCP,"2nd district, Bethesda",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,N/B 355 / STRATHMORE,39.032695,-77.10601333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,TOYOTA,SIENNA,WHITE,Citation,21-801(b),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.032695, -77.1060133333333)"
8/29/2017,8:00:00,MCP,"3rd district, Silver Spring",PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,MANCHESTER RD / BRADFORD RD,38.99863333,-77.00814167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,BMW,4DR,BLACK,Citation,21-1003(aa),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9986333333333, -77.0081416666667)"
8/29/2017,8:15:00,MCP,"3rd district, Silver Spring",PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,GILBERT PL / GILBERT ST,38.99824333,-76.99574833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,FORD,EXPLORER,BLUE,Citation,21-1003(aa),Transportation Article,No,OTHER,F,TAKOMA PARK,MD,MD,A - Marked Patrol,"(38.9982433333333, -76.9957483333333)"
7/15/2014,18:17:00,MCP,"4th district, Wheaton",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,NORBECK RD @ BALTIMORE,39.09475667,-77.11417667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,CHEVY,EQUINOX,WHITE,Citation,21-310(a),Transportation Article,No,WHITE,F,MIDDLE RIVER,MD,MD,A - Marked Patrol,"(39.0947566666667, -77.1141766666667)"
9/25/2013,0:21:00,MCP,"5th district, Germantown",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,RIDGE RD / GUE RD,39.302135,-77.189895,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,HOND,ACCORD 4S,GOLD,Citation,16-101(a),Transportation Article,No,BLACK,M,SALISBURY,MD,MD,A - Marked Patrol,"(39.302135, -77.189895)"
8/29/2017,8:30:00,MCP,"3rd district, Silver Spring",PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,BARRON / DOMER,38.99664667,-76.99728,No,No,No,No,No,No,No,No,No,No,MD,01 - Motorcycle,1998,DODGE,DAKOTA,RED,Citation,21-1003(aa),Transportation Article,No,BLACK,M,TAKOMA PARK,MD,MD,A - Marked Patrol,"(38.9966466666667, -76.99728)"
8/29/2017,8:40:00,MCP,"3rd district, Silver Spring",DRIVE ACROSS PRIVATE PROPERTY FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE,PINEY BRANCH / UNIVERSITY BLVD E,38.99710167,-76.99373167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,HONDA,CIVIC,GREEN,Citation,21-201(a2),Transportation Article,No,HISPANIC,M,BLADENSBURG,MD,MD,A - Marked Patrol,"(38.9971016666667, -76.9937316666667)"
9/9/2015,10:08:00,MCP,"1st district, Rockville",FAILURE TO RETURN TO & REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED PROPERTY DAMAGE,FALLS RD / MONTROSE RD,39.05706833,-77.1884,No,Yes,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,2009,CHRYSLER,SEBRING,WHITE,Citation,20-103(b),Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0570683333333, -77.1884)"
9/11/2014,10:51:00,MCP,"6th district, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 30 MPH ZONE,500 PERRY PKWY,39.14729333,-77.21396833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,HYUN,ELANTRA,BLACK,Citation,21-801.1,Transportation Article,No,BLACK,M,NORTH POTOMAC,MD,MD,Q - Marked Laser,"(39.1472933333333, -77.2139683333333)"
5/25/2014,15:33:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE TO RETURN TO & REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEH.DAMAGE,GOSHEN RD / MIDCOUNTY HWY,39.04543833,-76.99038,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,1994,CHRYSLER,LEBARON,GREEN,Citation,20-103(b),Transportation Article,Yes,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.0454383333333, -76.99038)"
2/10/2014,20:43:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,VEIRS MILL RD/NEWPORT MILL RD,39.04888167,-77.06886667,No,No,No,No,No,No,No,No,No,No,MD,06 - Heavy Duty Truck,2000,FORD,BOX TRUCK,WHITE,Citation,21-201(a1),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0488816666667, -77.0688666666667)"
6/27/2014,11:40:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,COLUMBIA PIKE/STEWART LANE,39.04614667,-76.987545,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,HUMMER,H3,GRAY,Citation,13-401(h),Transportation Article,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.0461466666667, -76.987545)"
5/19/2014,18:27:00,MCP,"3rd district, Silver Spring",FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,NEW HAMPSHIRE AVE @ POWDER MILL RD,39.0213991,-76.97698677,No,No,No,No,No,No,No,No,No,No,MD,28 - Other,2002,GMC,YUKON,BLACK,Citation,13-411(c1),Transportation Article,No,HISPANIC,M,COLLEGE PARK,MD,MD,A - Marked Patrol,"(39.0213991, -76.9769867666667)"
12/19/2013,12:46:00,MCP,"5th district, Germantown",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,GREAT SENECA HWY/WISTERIA DR,39.17139,-77.26307667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,HONDA,ACCORD,BLACK,Citation,16-101(a),Transportation Article,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.17139, -77.2630766666667)"
12/21/2013,17:33:00,MCP,"1st district, Rockville","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",E GUDE DR / DOVER RD,39.10087333,-77.14118833,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,2004,CHEV,TK,TAN,Citation,16-303(h),Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.1008733333333, -77.1411883333333)"
6/29/2013,21:13:00,MCP,"3rd district, Silver Spring",FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP,NB GEORGIA AVE @ ELLSWORTH DR,38.99625,-77.02803,No,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,1996,BUICK,4S,WHITE,Citation,22-219(a),Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(38.99625, -77.02803)"
8/29/2017,8:49:00,MCP,"3rd district, Silver Spring",PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,IFO 8708 BARRON,38.99851833,-76.997185,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,MERCEDES,SUV,BLUE,Citation,21-1003(aa),Transportation Article,No,BLACK,F,BURTONSVILLE,MD,MD,A - Marked Patrol,"(38.9985183333333, -76.997185)"
8/29/2017,8:52:00,MCP,"3rd district, Silver Spring",PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,IFO 8708 BARRON,38.99851333,-76.997185,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,CHEVY,VAN,WHITE,Citation,21-1003(aa),Transportation Article,No,OTHER,U,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9985133333333, -76.997185)"
7/12/2014,22:30:00,MCP,"4th district, Wheaton",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,ASPEN HILL/ CONNECTICUT,39.07998833,-77.08116,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,MITSUBUSHI,MONTERO,BLACK,Citation,21-402(a),Transportation Article,No,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0799883333333, -77.08116)"
11/30/2014,15:21:00,MCP,"3rd district, Silver Spring",DRIVING WHILE IMPAIRED BY ALCOHOL,FOREST GLENN RD / SLIGO CREEK PKWY,39.04285667,-76.99053,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,MERC,4S,GRAY,Citation,21-902(b1),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0428566666667, -76.99053)"
10/10/2014,18:09:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,ROSEMONT DR AT ROSEMONT CIR,,,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2014,JEEP,CHEROKEE,GRAY,Citation,21-201(a1),Transportation Article,No,BLACK,M,BELLE MEAD,NJ,NJ,A - Marked Patrol,
7/27/2014,3:01:00,MCP,"2nd district, Bethesda",DRIVING WHILE IMPAIRED BY ALCOHOL,GLENBROOK RD AT WESSLING LANE,,,No,No,No,No,No,No,No,No,No,No,MD,01 - Motorcycle,2013,KIA,RIO,SILVER,Citation,21-902(b1),Transportation Article,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,
7/14/2014,10:48:00,MCP,"4th district, Wheaton",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,PARK VISTA DR @ MASSANUTTEN DR,39.10578667,-77.050975,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,LEXUS,RX350,GOLD,Citation,21-1124.2(d2),Transportation Article,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1057866666667, -77.050975)"
4/27/2015,1:26:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,10820 GEORGIA AVE,39.05817333,-77.04862167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,INFINITI,I35,BEIGE,Citation,21-309(d),Transportation Article,No,HISPANIC,M,LANHAM,MD,MD,A - Marked Patrol,"(39.0581733333333, -77.0486216666667)"
8/29/2017,8:32:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,ODENDHAL AVE (LN 2) W/B & RUSSELL AVE,39.15054333,-77.20646833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,NISS,350 Z TRICKED,"BLUE, DARK",Citation,13-411(a),Transportation Article,No,OTHER,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1505433333333, -77.2064683333333)"
9/30/2014,10:49:00,MCP,"4th district, Wheaton",FAILURE TO STOP AT STOP SIGN,BEL PRE RD / ARCTIC AVE,39.09521667,-77.092055,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,HONDA,ACCORD,"BLUE, DARK",Citation,21-707(a),Transportation Article,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0952166666667, -77.092055)"
8/19/2014,23:18:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,CONNECTICUT AVE @ RANDOLPH RD,39.04933333,-77.07030667,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,1998,HONDA,CIVIC,BLUE,Citation,16-303(c),Transportation Article,No,OTHER,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0493333333333, -77.0703066666667)"
9/22/2014,22:18:00,MCP,"1st district, Rockville","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",1319 ROCKVILLE PIKE,39.06880667,-77.130465,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,HYUNDAI,SONATA,SILVER,Citation,16-303(h),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0688066666667, -77.130465)"
8/14/2014,4:53:00,MCP,"2nd district, Bethesda",DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,EAST WEST HWY @ JONES MILL RD,38.993795,-77.06325333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,MERZ,TK,TAN,Citation,21-202(i1),Transportation Article,No,BLACK,M,HYATTSVILLE,MD,MD,A - Marked Patrol,"(38.993795, -77.0632533333333)"
8/29/2017,8:32:00,MCP,"6th district, Gaithersburg / Montgomery Village",OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,ODENDHAL AVE (LN 2) W/B & RUSSELL AVE,39.15054333,-77.20646833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,NISS,350 Z TRICKED,"BLUE, DARK",Citation,22-406(i1),Transportation Article,No,OTHER,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1505433333333, -77.2064683333333)"
12/8/2015,12:33:00,MCP,"4th district, Wheaton",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,GOOD HOPE RD / GOOD HOPE DR,39.09372333,-76.99259333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,HONDA,ACCORD,"BLUE, DARK",Citation,21-1124.2(d2),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0937233333333, -76.9925933333333)"
8/29/2017,9:07:00,MCP,"6th district, Gaithersburg / Montgomery Village",UNLAWFUL USE OF HISTORIC PASSENGER VEH. FOR GENERAL DAILY TRANSPORTATION,ODENDHAL AVE (LN 2) W/B & RUSSELL AVE,39.15069,-77.206185,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,LINC,4S TOWNCAR,CREAM,Citation,13-936E2I,Transportation Article,No,BLACK,M,GAITHERSBURG,MD,MD,Q - Marked Laser,"(39.15069, -77.206185)"
7/10/2014,22:42:00,MCP,"3rd district, Silver Spring",FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,CHALMERS RD / NEW HAMPSHIRE AVE,39.02934667,-76.98419833,No,No,No,No,No,No,No,No,No,No,WV,02 - Automobile,2005,MAZDA,3,GRAY,Citation,22-226(a),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0293466666667, -76.9841983333333)"
2/21/2015,0:45:00,MCP,"3rd district, Silver Spring",DRIVING WHILE IMPAIRED BY ALCOHOL,COLESVILLE RD @ NORTWEST DR,39.04558333,-76.99115667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,TOYT,4D,BLACK,Citation,21-902(b1),Transportation Article,No,HISPANIC,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,"(39.0455833333333, -76.9911566666667)"
8/29/2017,9:25:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,ODENDHAL AVE W/B & RUSSELL AVE,39.14872833,-77.206555,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016,TOYOTA,COROLLA,BLACK,Citation,13-411(a),Transportation Article,No,ASIAN,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,"(39.1487283333333, -77.206555)"
3/15/2015,22:57:00,MCP,"6th district, Gaithersburg / Montgomery Village","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",MONTGOMERY VILLAGE AVE. @ CHRISTOPHER RD,39.15875167,-77.203635,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,HONDA,CIVIC,BLUE,Citation,16-303(h),Transportation Article,No,ASIAN,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1587516666667, -77.203635)"
8/11/2014,4:19:00,MCP,"3rd district, Silver Spring",FAILURE VEH. TO YIELD INTERSECTION RIGHT-OF-WAY TO ANOTHER VEH.,GEORGIA AVE/ 16TH STREET,39.00680833,-77.03921167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997,TOYOTA,CAMRY,WHITE,Citation,21-401,Transportation Article,No,HISPANIC,M,WALDORF,MD,MD,A - Marked Patrol,"(39.0068083333333, -77.0392116666667)"
7/5/2014,22:03:00,MCP,"3rd district, Silver Spring",KNOWINGLY DRIVING UNINSURED VEHICLE,NB 29 / FAIRLAND RD,39.07502333,-76.95691333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1994,JEEP,SUV,GREEN,Citation,17-107,Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0750233333333, -76.9569133333333)"
10/20/2014,8:47:00,MCP,"3rd district, Silver Spring",FAILURE VEH. TO YIELD INTERSECTION RIGHT-OF-WAY TO ANOTHER VEH.,CEDAR STREET / BONIFANT STREET,38.99635333,-77.02053833,No,Yes,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,1998,TOYT,COROLLA,"BLUE, DARK",Citation,21-401,Transportation Article,No,ASIAN,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9963533333333, -77.0205383333333)"
9/29/2014,19:28:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,BLUHILL ROAD/GOODHILL ROAD,39.15821167,-76.99126333,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,1994,FORD,PICK UP,GRAY,Citation,13-401(h),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1582116666667, -76.9912633333333)"
7/12/2014,0:08:00,MCP,"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,SB ROCKVILLE PIKE @ OLD GEORGETOWN ROAD,39.05037833,-77.11517667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,FORD,MUSTANG,BLACK,Citation,13-401(h),Transportation Article,No,ASIAN,M,HANOVER,MD,MD,A - Marked Patrol,"(39.0503783333333, -77.1151766666667)"
7/1/2014,8:33:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,GEORGIA AVE @ ARCOLA AVE,39.04580833,-77.052015,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,HYUNDAI,ACCENT,BLUE,Citation,13-401(h),Transportation Article,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0458083333333, -77.052015)"
12/23/2014,9:14:00,MCP,"3rd district, Silver Spring",POSSESSING SUSPENDED LIC.,FENTON AT SLIGO AVE,38.99007833,-77.02171333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,TOYOTA,CAMRY,GRAY,Citation,16-301(j),Transportation Article,No,BLACK,M,TAKOMA PARK,MD,MD,A - Marked Patrol,"(38.9900783333333, -77.0217133333333)"
12/30/2014,10:40:00,MCP,"3rd district, Silver Spring","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",E INDIAN SPRING DR @ BILTMORE DR,39.0131,-77.005365,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,HONDA,SCCORD,"GREEN, DK",Citation,16-303(h),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0131, -77.005365)"
9/7/2014,13:00:00,MCP,"4th district, Wheaton",DRIVER FAIL TO YIELD INTERSECTION RIGHT-OF-WAY TO VEH. AFTER TURN ON RED,GEORGIA  AVE/ NORBECK ROAD,39.05844,-77.04799333,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2007,LEXUS,4S,"BLUE, DARK",Citation,21-202(k),Transportation Article,No,BLACK,M,POTOMAC,MD,MD,A - Marked Patrol,"(39.05844, -77.0479933333333)"
10/6/2015,15:35:00,MCP,"3rd district, Silver Spring",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,COLESVILLE RD/SPRING ST,38.99904333,-77.02682333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,HOND,4S,BLACK,Citation,16-303(c),Transportation Article,No,WHITE,M,BELTSVILLE,MD,MD,A - Marked Patrol,"(38.9990433333333, -77.0268233333333)"
1/24/2015,22:43:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,WHISPERING OAKS/STREAMSIDE DR,39.14975667,-77.23405333,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,2004,BUICK,4S,SILVER,Citation,21-902(a1),Transportation Article,No,OTHER,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1497566666667, -77.2340533333333)"
